"","ev_id","ev_year","ev_month","prim_rsn","sec_rsn","sub1_rsn","sub2_rsn","sub3_rsn"
"9345","20101004X45616",2010,10,"Aircraft","Aircraft power plant","Engine (reciprocating)","(general)","Not specified "
"9346","20101004X53928",2010,10,"Aircraft","Aircraft power plant","Eng oil sys (airframe furnish)","Eng oil dist (airframe furn)","Inadequate inspection "
"9347","20101004X61158",2010,9,"Aircraft","Aircraft power plant","Engine (reciprocating)","(general)","Failure "
"9348","20101004X61158",2010,9,"Not determined","Not determined","(general)","(general)","Unknown/Not determined "
"9349","20101005X94649",2010,10,"Personnel issues","Action/decision","Info processing/decision","Decision making/judgment","Instructor/check pilot "
"9350","20101005X94649",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Airspeed","Not attained/maintained "
"9351","20101005X94736",2010,10,"Personnel issues","Action/decision","Action","Incorrect action selection","Pilot "
"9352","20101005X94736",2010,10,"Environmental issues","Physical environment","Object/animal/substance","Wire","Not specified "
"9353","20101005X94736",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Descent/approach/glide path","Not attained/maintained "
"9354","20101006X00507",2010,10,"Personnel issues","Action/decision","Action","Incorrect action performance","Passenger "
"9355","20101006X41012",2010,10,"Personnel issues","Action/decision","Action","Lack of action","Pilot "
"9356","20101006X41012",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Airspeed","Not attained/maintained "
"9357","20101006X41012",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Climb rate","Not attained/maintained "
"9358","20101006X41012",2010,10,"Aircraft","Aircraft handling/service","Maintenance/inspections","(general)","Not specified "
"9359","20101006X41012",2010,10,"Aircraft","Aircraft power plant","Power plant","Air intake","Incorrect service/maintenance "
"9360","20101006X70849",2010,10,"Aircraft","Aircraft power plant","Power plant","(general)","Malfunction "
"9361","20101006X70849",2010,10,"Not determined","Not determined","(general)","(general)","Unknown/Not determined "
"9362","20101006X70849",2010,10,"Aircraft","Aircraft power plant","Engine (reciprocating)","Recip eng cyl section","Failure "
"9363","20101006X95824",2010,10,"Aircraft","Aircraft power plant","Engine (reciprocating)","(general)","Failure "
"9364","20101007X11802",2010,10,"Aircraft","Fluids/misc hardware","Fluids","Hydraulic fluid","Fluid level "
"9365","20101007X11802",2010,10,"Aircraft","Aircraft systems","Landing gear system","Brake","Damaged/degraded "
"9366","20101007X11802",2010,10,"Aircraft","Aircraft systems","Landing gear system","Brake","Failure "
"9367","20101007X43800",2010,9,"Personnel issues","Task performance","Maintenance","Modification/alteration","Pilot "
"9368","20101007X43800",2010,9,"Aircraft","Aircraft power plant","Engine fuel and control","Fuel control/carburetor","Inadequate inspection "
"9369","20101007X43800",2010,9,"Personnel issues","Task performance","Inspection","Scheduled/routine inspection","Pilot "
"9370","20101007X43800",2010,9,"Aircraft","Aircraft power plant","Engine fuel and control","Fuel control/carburetor","Damaged/degraded "
"9371","20101007X85314",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Landing flare","Not attained/maintained "
"9372","20101007X85314",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Airspeed","Not attained/maintained "
"9373","20101007X85314",2010,10,"Personnel issues","Action/decision","Action","Incorrect action performance","Pilot "
"9374","20101008X70224",2010,10,"Aircraft","Aircraft power plant","Engine (reciprocating)","(general)","Failure "
"9375","20101008X70224",2010,10,"Aircraft","Fluids/misc hardware","Fluids","Fuel","Fluid management "
"9376","20101008X70224",2010,10,"Personnel issues","Task performance","Use of equip/info","Use of equip/system","Pilot "
